,0,1
0,GE,1/2/1962
1,IBM,1/2/1962
2,CAT,1/2/1962
3,KO,1/2/1962
4,DD,1/2/1962
5,DIS,1/2/1962
6,HPQ,1/2/1962
7,BA,1/2/1962
8,AA,1/2/1962
9,GT,1/2/1970
10,JNJ,1/2/1970
11,MO,1/2/1970
12,MMM,1/2/1970
13,XOM,1/2/1970
14,MRO,1/2/1970
15,MRK,1/2/1970
16,ED,1/2/1970
17,DTE,1/2/1970
18,MCD,1/2/1970
19,AEP,1/2/1970
20,PG,1/2/1970
21,CVX,1/2/1970
22,IP,1/2/1970
23,UTX,1/2/1970
24,CNP,1/2/1970
25,HON,1/2/1970
26,PCG,6/1/1972
27,DOW,6/1/1972
28,F,6/1/1972
29,WFC,6/1/1972
30,BMY,6/1/1972
31,DE,6/1/1972
32,AXP,6/1/1972
33,HAL,6/1/1972
34,EMR,6/1/1972
35,ETR,6/1/1972
36,ETN,6/1/1972
37,PEP,6/1/1972
38,LLY,6/1/1972
39,PBI,6/1/1972
40,TXN,6/1/1972
41,PFE,6/1/1972
42,WMT,8/25/1972
43,PNR,5/3/1973
44,FRT,5/3/1973
45,WY,5/3/1973
46,GAS,5/3/1973
47,BK,5/3/1973
48,SYY,5/8/1973
49,GD,1/3/1977
50,LMT,1/3/1977
51,KR,1/3/1977
52,AET,1/3/1977
53,C,1/3/1977
54,XRX,1/3/1977
55,MSI,1/3/1977
56,CL,1/3/1977
57,FDX,4/12/1978
58,APA,5/15/1979
59,LUV,1/2/1980
60,UNP,1/2/1980
61,R,1/2/1980
62,EXC,1/2/1980
63,PEG,1/2/1980
64,EIX,1/2/1980
65,INTC,3/17/1980
66,CSX,11/3/1980
67,PSA,11/18/1980
68,NKE,12/2/1980
69,AAPL,12/12/1980
70,HP,1980-NaN-15
71,HUM,12/31/1981
72,NOC,12/31/1981
73,GLW,12/31/1981
74,MDT,12/31/1981
75,SO,12/31/1981
76,HRS,12/31/1981
77,IFF,12/31/1981
78,RTN,12/31/1981
79,OXY,12/31/1981
80,SLB,12/31/1981
81,COP,12/31/1981
82,WMB,12/31/1981
83,ROK,12/31/1981
84,HD,1981-NaN-22
85,BAX,1981-NaN-27
86,MAT,1/4/1982
87,VLO,1/4/1982
88,THC,1/4/1982
89,NBL,1/4/1982
90,CI,3/31/1982
91,NSC,6/2/1982
92,CLX,3/21/1983
93,ADM,4/5/1983
94,ABT,4/6/1983
95,APD,4/6/1983
96,MUR,4/6/1983
97,DUK,4/6/1983
98,TGT,4/6/1983
99,HST,4/6/1983
100,GPC,4/6/1983
101,TSO,4/6/1983
102,BCR,4/6/1983
103,HES,4/6/1983
104,PPG,4/6/1983
105,BDX,4/6/1983
106,NEM,4/6/1983
107,ADP,4/6/1983
108,PKI,4/6/1983
109,GIS,6/10/1983
110,MAS,6/10/1983
111,WHR,6/10/1983
112,NEE,6/10/1983
113,DNB,6/10/1983
114,VZ,11/21/1983
115,AVY,12/29/1983
116,JPM,12/30/1983
117,NUE,1983-NaN-01
118,PNW,7/19/1984
119,AFL,7/19/1984
120,T,7/19/1984
121,AME,7/19/1984
122,NWL,7/19/1984
123,ADI,7/19/1984
124,ES,8/29/1984
125,K,12/17/1984
126,KMB,12/17/1984
127,GWW,12/17/1984
128,CVS,12/17/1984
129,CMI,12/18/1984
130,HAS,12/18/1984
131,CMS,12/31/1984
132,D,1984-NaN-03
133,LNC,1984-NaN-05
134,TAP,1984-NaN-07
135,BEN,1984-NaN-07
136,BLL,1984-NaN-07
137,AMGN,1984-NaN-07
138,SWKS,1984-NaN-07
139,CAG,1984-NaN-07
140,AON,1984-NaN-07
141,AMAT,1984-NaN-07
142,BF-B,1984-NaN-07
143,CA,1984-NaN-07
144,AIG,1984-NaN-07
145,NI,1984-NaN-19
146,TXT,1984-NaN-24
147,WEC,1984-NaN-26
148,TE,1984-NaN-29
149,JCI,3/27/1985
150,PPL,4/8/1985
151,BBY,4/19/1985
152,CPB,7/1/1985
153,SNA,7/1/1985
154,TGNA,7/1/1985
155,DOV,7/1/1985
156,FMC,7/1/1985
157,LB,7/1/1985
158,VFC,7/1/1985
159,SHW,7/1/1985
160,ADSK,7/1/1985
161,SWK,7/1/1985
162,WBA,7/1/1985
163,HSY,7/1/1985
164,PHM,7/1/1985
165,PH,7/1/1985
166,LOW,7/1/1985
167,OKE,7/1/1985
168,IR,7/1/1985
169,XEL,1985-NaN-24
170,CHD,3/6/1986
171,ORCL,3/12/1986
172,MSFT,3/13/1986
173,EFX,3/27/1986
174,BAC,5/29/1986
175,JWN,7/9/1986
176,TSN,7/9/1986
177,COST,7/9/1986
178,PGR,7/9/1986
179,ROST,7/9/1986
180,STT,7/9/1986
181,TRV,7/9/1986
182,PCAR,7/9/1986
183,ADBE,8/14/1986
184,UNM,11/6/1986
185,HRB,11/12/1986
186,HAR,11/14/1986
187,CCE,11/24/1986
188,ARG,12/22/1986
189,APC,1986-NaN-09
190,WDC,1/2/1987
191,BHI,4/7/1987
192,L,7/10/1987
193,PVH,7/10/1987
194,GPS,7/23/1987
195,HCP,11/5/1987
196,CTL,11/5/1987
197,LM,11/5/1987
198,IPG,11/5/1987
199,KSU,11/5/1987
200,LUK,11/5/1987
201,KEY,11/5/1987
202,ITW,11/5/1987
203,DHR,11/5/1987
204,EQT,11/5/1987
205,LEG,11/5/1987
206,LEN,11/5/1987
207,USB,11/5/1987
208,HOG,11/5/1987
209,HOT,11/5/1987
210,MYL,12/18/1987
211,MMC,12/30/1987
212,STI,12/30/1987
213,TMK,12/30/1987
214,SEE,12/30/1987
215,SWN,12/30/1987
216,FOX,12/30/1987
217,TIF,12/30/1987
218,SCG,12/30/1987
219,CAH,12/31/1987
220,TMO,1987-NaN-01
221,TYC,1987-NaN-28
222,VAR,1/5/1988
223,TJX,1/5/1988
224,ECL,1/5/1988
225,VMC,1/5/1988
226,VNO,1/5/1988
227,MOS,1/26/1988
228,SYK,2/1/1988
229,CMCSA,7/7/1988
230,EMC,12/16/1988
231,PNC,1988-NaN-07
232,CCL,1/5/1989
233,MU,5/16/1989
234,SCHW,6/30/1989
235,TSS,6/30/1989
236,STJ,12/7/1989
237,EOG,1989-NaN-04
238,TROW,1989-NaN-13
239,HRL,1/2/1990
240,JEC,1/12/1990
241,COG,2/8/1990
242,JBHT,3/26/1990
243,SYMC,3/26/1990
244,CMA,3/26/1990
245,FTR,3/26/1990
246,CELG,3/26/1990
247,ZION,3/26/1990
248,CERN,3/26/1990
249,RF,3/26/1990
250,PAYX,3/26/1990
251,EA,3/26/1990
252,EXPD,3/26/1990
253,UNH,3/26/1990
254,BBT,3/26/1990
255,OMC,3/26/1990
256,KLAC,3/26/1990
257,HBAN,3/26/1990
258,PBCT,3/26/1990
259,SPLS,3/26/1990
260,FITB,3/26/1990
261,CTAS,3/26/1990
262,FISV,3/26/1990
263,MKC,3/26/1990
264,UHS,3/26/1990
265,CSCO,3/26/1990
266,CINF,3/26/1990
267,NTRS,3/26/1990
268,FLS,3/26/1990
269,LRCX,3/26/1990
270,FAST,3/26/1990
271,LLTC,3/26/1990
272,LH,3/29/1990
273,XLNX,6/18/1990
274,ESV,1/2/1991
275,REGN,4/2/1991
276,AZO,4/2/1991
277,XRAY,4/25/1991
278,AES,6/26/1991
279,XL,7/19/1991
280,VRTX,7/24/1991
281,APH,11/8/1991
282,KIM,11/22/1991
283,OI,12/11/1991
284,QCOM,12/16/1991
285,PRGO,12/17/1991
286,MTB,1991-NaN-04
287,BIIB,1991-NaN-17
288,WM,1991-NaN-30
289,GILD,1/22/1992
290,WFM,1/23/1992
291,M,2/5/1992
292,ROP,2/13/1992
293,AN,3/3/1992
294,RHI,3/10/1992
295,HCN,3/17/1992
296,STZ,3/17/1992
297,DVN,3/17/1992
298,CVC,3/17/1992
299,TWX,3/19/1992
300,MHK,4/1/1992
301,BSX,5/19/1992
302,KSS,5/19/1992
303,BBBY,6/5/1992
304,DHI,6/5/1992
305,ESRX,6/9/1992
306,PX,6/17/1992
307,SBUX,6/26/1992
308,RRC,12/28/1992
309,PDCO,1992-NaN-28
310,CHK,2/16/1993
311,AGN,2/17/1993
312,MS,2/23/1993
313,MCHP,3/19/1993
314,INTU,3/22/1993
315,CB,3/26/1993
316,GGP,4/8/1993
317,ORLY,4/23/1993
318,RCL,4/28/1993
319,RIG,5/28/1993
320,ALL,6/3/1993
321,FLIR,6/22/1993
322,EQR,8/12/1993
323,BWA,8/13/1993
324,URBN,11/9/1993
325,NFX,11/12/1993
326,SPG,12/14/1993
327,EMN,12/14/1993
328,MAR,1993-NaN-13
329,ATVI,1993-NaN-25
330,GMCR,1993-NaN-27
331,MLM,2/17/1994
332,TSCO,2/18/1994
333,MAC,3/10/1994
334,AVB,3/11/1994
335,ESS,6/7/1994
336,AIV,7/22/1994
337,MCK,11/15/1994
338,COF,11/16/1994
339,O,1994-NaN-18
340,SIG,1994-NaN-31
341,MCO,1994-NaN-31
342,SJM,1994-NaN-31
343,DLTR,3/9/1995
344,ABC,4/4/1995
345,DRI,5/9/1995
346,CAM,7/5/1995
347,FCX,7/10/1995
348,MNST,8/18/1995
349,IVZ,8/25/1995
350,HSIC,11/3/1995
351,SNDK,11/8/1995
352,EL,11/17/1995
353,WAT,11/17/1995
354,NTAP,11/21/1995
355,CTXS,12/8/1995
356,HIG,12/15/1995
357,DO,1995-NaN-11
358,DVA,1995-NaN-31
359,IRM,2/1/1996
360,ALXN,2/28/1996
361,FOXA,3/11/1996
362,YHOO,4/12/1996
363,BRK-B,5/9/1996
364,ETFC,8/16/1996
365,SRCL,8/23/1996
366,DGX,12/26/1996
367,NOV,1996-NaN-29
368,KMX,2/4/1997
369,VTR,5/5/1997
370,AMZN,5/16/1997
371,RL,6/12/1997
372,BXP,6/18/1997
373,PXD,8/8/1997
374,SLG,8/15/1997
375,FE,11/10/1997
376,PLD,11/21/1997
377,AMG,11/21/1997
378,URI,12/18/1997
379,CHRW,1997-NaN-16
380,YUM,1997-NaN-17
381,AEE,1/2/1998
382,VRSN,1/30/1998
383,PWR,2/12/1998
384,AMT,2/27/1998
385,LVLT,3/31/1998
386,LLL,5/19/1998
